package,package_uri,package_name,rank,hook,score,emotion,thumbnail,thumbnail_vertical,report
output_test_visual_hook\Test_visual_hook_integration_20260623_114932,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932,Test_visual_hook_integration_20260623_114932,1,His final choice,4,dramatic,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932/thumbnail.png,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932/hook_report.json
output_test_visual_hook\Test_visual_hook_integration_20260623_114932,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932,Test_visual_hook_integration_20260623_114932,2,Betrayal revealed,4,dramatic,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932/thumbnail.png,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932/hook_report.json
output_test_visual_hook\Test_visual_hook_integration_20260623_114932,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932,Test_visual_hook_integration_20260623_114932,3,Shocking moment,4,dramatic,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932/thumbnail.png,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932/hook_report.json
output_test_visual_hook\Test_visual_hook_integration_20260623_114932,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932,Test_visual_hook_integration_20260623_114932,4,Lost forever,3.5,dramatic,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932/thumbnail.png,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932/hook_report.json
output_test_visual_hook\Test_visual_hook_integration_20260623_114932,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932,Test_visual_hook_integration_20260623_114932,5,One impossible choice,2,dramatic,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932/thumbnail.png,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932/hook_report.json
output_test_visual_hook\Test_visual_hook_integration_20260623_114932,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932,Test_visual_hook_integration_20260623_114932,6,Nobody believed him,2,dramatic,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932/thumbnail.png,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_visual_hook/Test_visual_hook_integration_20260623_114932/hook_report.json
output_test_pkg2\Minecraft_betrayal_on_SMP_20260622_222014,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014,Minecraft_betrayal_on_SMP_20260622_222014,1,Betrayal revealed,4,dramatic,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014/thumbnail.png,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014/hook_report.json
output_test_pkg2\Minecraft_betrayal_on_SMP_20260622_222014,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014,Minecraft_betrayal_on_SMP_20260622_222014,2,Shocking moment,4,dramatic,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014/thumbnail.png,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014/hook_report.json
output_test_pkg2\Minecraft_betrayal_on_SMP_20260622_222014,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014,Minecraft_betrayal_on_SMP_20260622_222014,3,His final choice,4,dramatic,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014/thumbnail.png,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014/hook_report.json
output_test_pkg2\Minecraft_betrayal_on_SMP_20260622_222014,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014,Minecraft_betrayal_on_SMP_20260622_222014,4,Lost forever,3.5,dramatic,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014/thumbnail.png,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014/hook_report.json
output_test_pkg2\Minecraft_betrayal_on_SMP_20260622_222014,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014,Minecraft_betrayal_on_SMP_20260622_222014,5,Nobody believed him,2,dramatic,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014/thumbnail.png,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014/hook_report.json
output_test_pkg2\Minecraft_betrayal_on_SMP_20260622_222014,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014,Minecraft_betrayal_on_SMP_20260622_222014,6,One impossible choice,2,dramatic,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014/thumbnail.png,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_pkg2/Minecraft_betrayal_on_SMP_20260622_222014/hook_report.json
output_test_pkg\Minecraft_betrayal_on_SMP_20260622_210510,file:///C:/edit%20factory/output_test_pkg/Minecraft_betrayal_on_SMP_20260622_210510,Minecraft_betrayal_on_SMP_20260622_210510,1,Betrayal revealed,4,dramatic,file:///C:/edit%20factory/output_test_pkg/Minecraft_betrayal_on_SMP_20260622_210510/thumbnail.png,file:///C:/edit%20factory/output_test_pkg/Minecraft_betrayal_on_SMP_20260622_210510/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_pkg/Minecraft_betrayal_on_SMP_20260622_210510/hook_report.json
output_test_pkg\Minecraft_betrayal_on_SMP_20260622_210510,file:///C:/edit%20factory/output_test_pkg/Minecraft_betrayal_on_SMP_20260622_210510,Minecraft_betrayal_on_SMP_20260622_210510,2,Shocking moment,4,dramatic,file:///C:/edit%20factory/output_test_pkg/Minecraft_betrayal_on_SMP_20260622_210510/thumbnail.png,file:///C:/edit%20factory/output_test_pkg/Minecraft_betrayal_on_SMP_20260622_210510/thumbnail_vertical.png,file:///C:/edit%20factory/output_test_pkg/Minecraft_betrayal_on_SMP_20260622_210510/hook_report.json
